City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Provideniya,64.3833,-173.3,28.45,79,100,5.77,RU,1619834505
Fare,-16.7,-151.0167,81.41,72,100,9.22,PF,1619834506
Avarua,-21.2078,-159.775,82.4,69,20,6.91,CK,1619834506
Itarema,-2.9248,-39.9167,76.42,87,19,6.93,BR,1619834507
Bredasdorp,-34.5322,20.0403,41.0,93,0,4.61,ZA,1619834508
George Town,5.4112,100.3354,82.4,89,20,5.75,MY,1619834508
Butaritari,3.0707,172.7902,83.39,72,52,10.02,KI,1619834509
Rawson,-43.3002,-65.1023,64.47,41,100,3.06,AR,1619834509
Bilma,18.6853,12.9164,81.43,6,0,8.57,NE,1619834510
Saskylakh,71.9167,114.0833,32.63,97,100,7.9,RU,1619834511
Novyy Urgal,51.0736,132.5642,50.59,51,100,1.25,RU,1619834511
Benghazi,32.1167,20.0667,80.64,26,78,12.86,LY,1619834512
Mahébourg,-20.4081,57.7,77.0,78,40,11.5,MU,1619834512
Norman Wells,65.282,-126.8329,48.2,34,20,14.97,CA,1619834513
Tuktoyaktuk,69.4541,-133.0374,23.0,80,20,8.05,CA,1619834515
Castro,-24.7911,-50.0119,50.18,97,29,5.7,BR,1619834516
Gao,16.6362,1.637,85.51,14,0,4.12,ML,1619834517
Phan Thiet,10.9333,108.1,85.77,64,66,10.18,VN,1619834454
Yellowknife,62.456,-114.3525,33.01,100,90,5.75,CA,1619834288
Salalah,17.0151,54.0924,80.6,83,20,5.46,OM,1619834522
Vanavara,60.34,102.2797,40.37,70,34,10.58,RU,1619834475
Chui,-33.6971,-53.4616,59.88,94,100,7.56,UY,1619834523
Port Hardy,50.6996,-127.4199,51.8,87,75,8.05,CA,1619834524
Imbituba,-28.24,-48.6703,64.4,88,0,2.3,BR,1619834524
Fort Nelson,58.8053,-122.7002,59.0,23,75,11.5,CA,1619834525
Tasiilaq,65.6145,-37.6368,26.6,93,26,5.75,GL,1619834526
Wilmington,34.2257,-77.9447,71.6,37,1,6.91,US,1619834412
Sørland,67.667,12.6934,35.62,60,100,11.86,NO,1619834528
Hamilton,39.1834,-84.5333,51.8,43,1,6.91,US,1619834324
Kumul,42.8,93.45,79.23,9,41,8.34,CN,1619834529
Tahoua,14.8888,5.2692,80.24,15,0,1.57,NE,1619834531
Lebane,42.9239,21.7375,61.0,55,0,3.44,RS,1619834532
Imola,44.3523,11.7158,57.0,93,100,1.99,IT,1619834342
Tabuk,17.4189,121.4443,86.72,60,18,5.82,PH,1619834535
Osa,57.2829,55.4567,46.62,59,100,17.25,RU,1619834535
Kaitangata,-46.2817,169.8464,59.0,52,100,5.99,NZ,1619834543
Şereflikoçhisar,38.9393,33.5386,58.73,57,5,3.56,TR,1619834544
San Vicente,-26.6167,-54.1333,55.94,66,0,2.95,AR,1619834544
Biak,-0.9131,122.8766,84.07,64,65,2.84,ID,1619834545
Dingle,10.9995,122.6711,88.63,60,86,8.03,PH,1619834546
Olafsvik,64.8945,-23.7142,34.02,68,67,29.1,IS,1619834546
Hofn,64.2539,-15.2082,35.65,66,100,10.63,IS,1619834547
Hervey Bay,-25.2986,152.8535,69.01,92,99,8.01,AU,1619834548
Ovalle,-30.5983,-71.2003,59.16,72,7,1.59,CL,1619834352
Bubaque,11.2833,-15.8333,78.94,69,30,13.8,GW,1619834552
East London,-33.0153,27.9116,62.24,71,95,12.5,ZA,1619834555
Alta Floresta,-9.8756,-56.0861,70.66,96,100,2.33,BR,1619834556
Port Keats,-14.25,129.55,87.42,37,0,7.94,AU,1619834561
Lebu,-37.6167,-73.65,56.16,92,100,20.58,CL,1619834562
Bluff,-46.6,168.3333,55.0,74,72,7.0,NZ,1619834469
Clyde River,70.4692,-68.5914,17.6,100,1,6.91,CA,1619834564
Novopskov,49.5464,39.0899,54.79,92,100,6.64,UA,1619834564
Novobirilyussy,56.9514,90.6661,45.68,70,5,9.13,RU,1619834566
Ambilobe,-13.2,49.05,72.39,95,1,2.95,MG,1619834567
Pangnirtung,66.1451,-65.7125,30.34,78,21,7.96,CA,1619834568
Abu Samrah,35.3029,37.1841,65.91,36,0,5.66,SY,1619834568
Sitka,57.0531,-135.33,46.4,81,90,9.22,US,1619834569
Havre-St-Pierre,50.2334,-63.5986,42.8,87,90,5.75,CA,1619834569
Havelock,34.8791,-76.9013,72.0,43,1,8.05,US,1619834570
Alofi,-19.0595,-169.9187,75.2,100,100,4.61,NU,1619834571
Mahanoro,-19.9,48.8,71.51,89,1,3.67,MG,1619834572
Katsuura,35.1333,140.3,75.0,68,40,4.61,JP,1619834573
Xique-Xique,-10.8218,-42.7263,76.59,65,94,17.36,BR,1619834573
Turka,49.1541,23.0297,45.0,86,52,3.8,UA,1619834574
Parrita,9.5201,-84.3225,68.0,100,90,3.44,CR,1619834575
Labuhan,-6.8844,112.2051,83.21,74,56,6.96,ID,1619834576
Nicoya,10.1483,-85.452,79.11,77,94,4.09,CR,1619834579
Lagos,6.5833,3.75,80.6,89,20,2.3,NG,1619834493
Elko,41.0002,-115.5012,82.4,12,1,16.11,US,1619834322
Padang,-0.9492,100.3543,77.0,100,20,2.3,ID,1619834584
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.4,93,90,11.18,RU,1619834585
Daru,-9.0763,143.2092,81.19,79,100,11.59,PG,1619834586
Batemans Bay,-35.7167,150.1833,70.0,58,0,6.53,AU,1619834587
Muros,42.7762,-9.0603,43.0,92,12,7.96,ES,1619834588
Honchō,41.8833,140.6833,55.4,58,40,14.97,JP,1619834589
Qaanaaq,77.484,-69.3632,29.39,57,100,7.52,GL,1619834591
Khandagayty,50.7333,92.05,51.55,69,89,4.38,RU,1619834595
Dhidhdhoo,6.8833,73.1,84.76,68,99,3.69,MV,1619834596
Nhulunbuy,-12.2333,136.7667,86.0,66,75,14.97,AU,1619834597
Iquique,-20.2208,-70.1431,62.6,67,0,6.91,CL,1619834598
Sabang,5.8933,95.3214,83.37,74,91,8.57,ID,1619834601
Mlimba,-8.8,35.8167,72.16,90,100,0.94,TZ,1619834606
Dikson,73.5069,80.5464,21.34,92,100,8.72,RU,1619834607
Geraldton,-28.7667,114.6,68.0,32,90,19.57,AU,1619834609
Lüderitz,-26.6481,15.1594,62.55,40,0,11.9,NA,1619834610
Kavaratti,10.5669,72.642,84.52,73,39,7.96,IN,1619834611
Ambon City,-3.6954,128.1814,89.6,62,40,3.44,ID,1619834612
Grand Gaube,-20.0064,57.6608,78.01,79,100,7.0,MU,1619834613
Kintampo,8.0563,-1.7306,77.09,69,28,5.41,GH,1619834613
Namwala,-15.7504,26.4384,63.59,93,84,1.1,ZM,1619834615
Gamba,-2.65,10.0,77.47,90,100,3.44,GA,1619834616
Kapoeta,4.7717,33.5903,73.38,73,80,6.24,SS,1619834616
San Rafael,-34.6177,-68.3301,62.51,54,17,7.83,AR,1619834536
Port-Gentil,-0.7193,8.7815,81.73,79,100,5.84,GA,1619834619
Vanimo,-2.6741,141.3028,83.55,78,97,3.15,PG,1619834620
Thunder Bay,48.4001,-89.3168,50.0,34,40,8.05,CA,1619834621
Ilulissat,69.2167,-51.1,32.0,74,96,3.44,GL,1619834622
Tamazunchale,21.2667,-98.7833,76.17,79,100,4.34,MX,1619834623
San Cristobal,7.7669,-72.225,73.4,100,75,2.3,VE,1619834623
Salisbury,51.0693,-1.7957,37.4,93,15,4.61,GB,1619834624
Chapais,49.7834,-74.8492,32.0,80,90,19.57,CA,1619834564
Kamiiso,41.8167,140.65,55.4,58,40,14.97,JP,1619834625
Flinders,-34.5833,150.8552,75.99,69,10,4.0,AU,1619834625
Jardim,-21.4803,-56.1381,65.64,45,0,4.12,BR,1619834626
Mehamn,71.0357,27.8492,33.8,75,40,13.8,NO,1619834627
Aurillac,44.9167,2.45,46.4,87,90,2.3,FR,1619834555
Khovd,48.0056,91.6419,67.95,20,100,13.09,MN,1619834630
Cidreira,-30.1811,-50.2056,68.59,73,0,17.34,BR,1619834631
Mirny,62.5353,113.9611,39.42,70,92,8.3,RU,1619834633
Puerto Ayora,-0.7393,-90.3518,74.5,82,5,6.91,EC,1619834634
Pevek,69.7008,170.3133,18.77,80,100,16.35,RU,1619834635
Verkhnyaya Inta,65.9811,60.3094,33.17,64,52,11.1,RU,1619834636
Pozo Colorado,-23.4923,-58.7972,66.07,52,0,5.93,PY,1619834637
Metro,-5.1131,105.3067,82.67,78,99,1.43,ID,1619834637
La Romana,18.4273,-68.9728,73.4,94,20,5.75,DO,1619834639
Vallenar,-28.5708,-70.7581,57.6,72,12,2.06,CL,1619834640
Mount Isa,-20.7333,139.5,82.4,32,0,11.5,AU,1619834454
Adrar,20.5022,-10.0711,76.68,44,68,4.83,MR,1619834643
Jizan,17.3333,42.6667,80.6,69,40,3.71,SA,1619834418
Whitianga,-36.8333,175.7,63.54,57,9,10.38,NZ,1619834645
Cherskiy,68.75,161.3,19.29,81,87,2.26,RU,1619834646
Souillac,-20.5167,57.5167,77.0,78,40,11.5,MU,1619834648
Hithadhoo,-0.6,73.0833,83.71,71,98,5.37,MV,1619834648
Lakes Entrance,-37.8811,147.981,72.0,57,1,2.44,AU,1619834650
Ajdabiya,30.7554,20.2263,83.95,14,7,11.43,LY,1619834651
Boussé,12.6606,-1.8922,91.4,40,20,6.91,BF,1619834652
Margate,51.3813,1.3862,41.0,81,10,2.84,GB,1619834653
Shaping,22.7545,112.9565,82.0,77,29,2.01,CN,1619834654
Puerto Baquerizo Moreno,-0.9,-89.6,75.54,78,1,7.54,EC,1619834564
Vestmannaeyjar,63.4427,-20.2734,37.49,92,83,12.57,IS,1619834657
Upernavik,72.7868,-56.1549,24.26,77,100,4.34,GL,1619834658
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,64.99,82,4,5.99,AR,1619834658
Nikolskoye,59.7035,30.7861,37.0,80,0,6.71,RU,1619834659
Bonavista,48.6499,-53.1147,39.2,81,100,8.05,CA,1619834660
Lorengau,-2.0226,147.2712,84.61,71,41,2.48,PG,1619834662
Paamiut,61.994,-49.6678,38.8,71,12,6.67,GL,1619834662
Strezhevoy,60.7333,77.5889,37.4,87,0,8.95,RU,1619834663
Barra de Tecoanapa,16.5167,-98.75,80.65,76,11,4.74,MX,1619834664
Mar del Plata,-38.0023,-57.5575,62.01,88,0,9.22,AR,1619834593
São José da Coroa Grande,-8.8978,-35.1478,77.45,81,95,11.27,BR,1619834667
Babstovo,48.1167,132.4833,52.43,43,20,6.35,RU,1619834668
Kavieng,-2.5744,150.7967,84.56,67,24,4.99,PG,1619834670
Arlit,18.7369,7.3853,84.58,6,0,6.85,NE,1619834670
Moussoro,13.6408,16.4901,82.9,5,6,10.87,TD,1619834423
Huaral,-11.495,-77.2078,66.2,82,0,10.36,PE,1619834672
Port Blair,11.6667,92.75,82.4,83,20,1.03,IN,1619834672
Kirensk,57.7853,108.1119,37.71,92,100,7.49,RU,1619834673
Neiafu,-18.65,-173.9833,84.2,74,20,8.05,TO,1619834674
Sangar,63.9242,127.4739,38.91,79,99,6.49,RU,1619834674
Grindavik,63.8424,-22.4338,32.0,74,20,17.27,IS,1619834675
Korla,41.7597,86.1469,74.86,12,0,4.9,CN,1619834676
Tuatapere,-46.1333,167.6833,55.0,74,73,7.0,NZ,1619834676
Coolum Beach,-26.5333,153.1,70.0,91,100,1.99,AU,1619834677
Muisne,0.6,-80.0333,75.85,90,98,4.61,EC,1619834678
Kloulklubed,7.0419,134.2556,87.8,70,75,12.66,PW,1619834679
Prince Rupert,54.3161,-130.3201,46.4,93,90,9.22,CA,1619834680
Kasiri,8.9412,-13.1148,77.63,77,44,4.94,SL,1619834681
Half Moon Bay,37.4636,-122.4286,57.99,93,75,11.5,US,1619834682
Esim,4.8699,-2.2405,81.07,80,100,6.33,GH,1619834684
Funadhoo,6.15,73.2667,83.59,74,93,7.29,MV,1619834686
Mungaa,-4.9667,34.8833,58.23,98,100,6.76,TZ,1619834688
Ribeira Grande,38.5167,-28.7,59.95,80,100,11.05,PT,1619834689
Beitbridge,-22.2167,30.0,65.53,82,4,15.99,ZW,1619834691
Iquitos,-3.7481,-73.2472,75.2,94,40,1.99,PE,1619834692
Arica,-18.475,-70.3042,64.4,68,0,1.14,CL,1619834692
Perivoli,39.4206,20.0147,65.25,73,100,9.19,GR,1619834693
Tilichiki,60.4667,166.1,29.71,70,1,14.25,RU,1619834694
Ciudad Juárez,31.7333,-106.4833,68.0,45,75,6.91,MX,1619834647
Loa Janan,-0.583,117.095,82.42,83,99,1.95,ID,1619834698
Bilibino,68.0546,166.4372,18.48,72,78,2.53,RU,1619834699
New Norfolk,-42.7826,147.0587,68.0,45,0,8.05,AU,1619834701
Narsaq,60.9167,-46.05,48.2,31,40,31.07,GL,1619834702
Bethel,41.3712,-73.414,50.0,46,75,13.8,US,1619834668
Bastrop,32.7562,-91.8724,63.0,100,40,7.05,US,1619834706
Ola,59.5833,151.2833,35.17,74,84,3.09,RU,1619834562
Teya,60.3778,92.6267,35.89,99,100,9.86,RU,1619834713
Doha,25.2867,51.5333,78.8,73,0,5.75,QA,1619834714
Edd,13.9297,41.6925,83.98,63,63,1.79,ER,1619834717
Muzhi,65.3667,64.6667,23.05,86,7,6.02,RU,1619834719
High Wycombe,51.6291,-0.7493,39.0,92,15,4.85,GB,1619834719
Nouakchott,18.0858,-15.9785,68.0,83,1,11.5,MR,1619834720
Troitsko-Pechorsk,62.7084,56.1964,34.99,70,100,11.07,RU,1619834721
Jamame,0.0722,42.7506,79.0,80,6,5.73,SO,1619834721
Kieta,-6.2167,155.6333,83.73,74,38,4.14,PG,1619834423
Qaqortoq,60.7167,-46.0333,48.2,31,40,31.07,GL,1619834722
São Filipe,14.8961,-24.4956,72.64,75,11,7.61,CV,1619834723
Kajaani,64.2273,27.7285,24.8,80,0,8.05,FI,1619834724
Necochea,-38.5473,-58.7368,55.0,85,0,7.0,AR,1619834724
Pinawa,50.1489,-95.8811,40.86,82,100,10.38,CA,1619834725
Port Lincoln,-34.7333,135.8667,76.48,32,70,20.29,AU,1619834726
Fairbanks,64.8378,-147.7164,37.4,51,90,12.66,US,1619834443
Ţahţā,26.7693,31.5021,73.4,18,0,8.05,EG,1619834727
Rome,43.2128,-75.4557,37.99,70,90,18.41,US,1619834554
Sarkand,45.41,79.9186,47.59,91,100,13.58,KZ,1619834728
Yerbogachën,61.2767,108.0108,35.92,96,100,9.24,RU,1619834730
Mount Gambier,-37.8333,140.7667,62.6,55,100,11.5,AU,1619834730
Yar-Sale,66.8333,70.8333,16.45,92,61,9.4,RU,1619834732
Balkhash,46.844,74.9804,46.4,81,0,6.71,KZ,1619834735
Santiago del Estero,-27.7951,-64.2615,61.5,48,3,7.45,AR,1619834493
Boende,-0.2167,20.8667,70.41,96,100,2.35,CD,1619834737
‘Ewa Beach,21.3156,-158.0072,82.4,54,40,14.97,US,1619834737
Pacific Grove,36.6177,-121.9166,57.0,82,75,8.05,US,1619834744
Zabolotiv,48.4705,25.2857,51.37,93,85,2.82,UA,1619834744
Makkah al Mukarramah,21.4267,39.8261,84.67,42,100,4.41,SA,1619834747
Toma,12.7667,-2.8833,91.67,27,65,5.03,BF,1619834748
Saint-Leu,-21.15,55.2833,73.4,78,0,6.91,RE,1619834749
Kon Tum,14.35,108.0,84.13,56,11,1.16,VN,1619834751
Coquimbo,-29.9533,-71.3436,55.4,94,0,5.75,CL,1619834752
Sirte,31.2089,16.5887,83.59,19,2,16.82,LY,1619834753
Houma,29.5958,-90.7195,75.99,88,75,5.75,US,1619834754
San Patricio,28.017,-97.5169,73.99,100,90,12.66,US,1619834754
Naze,28.3667,129.4833,75.2,78,75,21.85,JP,1619834643
Port-Cartier,50.0334,-66.8654,42.01,100,75,3.44,CA,1619834757
Malanday,14.7069,121.1306,88.0,58,20,5.75,PH,1619834757
Codrington,-38.2667,141.9667,72.1,40,100,14.79,AU,1619834758
Söderhamn,61.3037,17.0592,30.99,77,10,5.28,SE,1619834758
Hualmay,-11.0964,-77.6139,66.51,88,7,7.9,PE,1619834759
Krasnopavlivka,49.1372,36.3272,52.5,85,100,7.38,UA,1619834760
Ponta do Sol,32.6667,-17.1,59.0,57,100,3.0,PT,1619834761
Lukulu,-14.3707,23.242,65.55,92,100,4.05,ZM,1619834763
Bikaner,28.0167,73.3,87.1,23,100,7.34,IN,1619834553
Junín,-34.5838,-60.9433,54.0,41,0,7.72,AR,1619834767
La Asuncion,11.0333,-63.8628,86.0,70,96,11.5,VE,1619834768
Ararat,39.8317,44.7049,57.2,88,40,5.75,AM,1619834768
Santa Marta,11.2408,-74.199,84.2,70,75,6.91,CO,1619834515
Narón,43.5167,-8.1528,46.4,93,40,3.74,ES,1619834771
Dodoma,-6.1722,35.7395,63.77,96,80,5.28,TZ,1619834772
Unaí,-16.3575,-46.9061,69.17,82,100,2.84,BR,1619834478
Yakeshi,49.2833,120.7333,46.71,53,34,6.08,CN,1619834775
Ancud,-41.8697,-73.8203,55.99,100,90,19.57,CL,1619834778
Ostrovnoy,68.0531,39.5131,16.12,81,98,6.71,RU,1619834778
Santa Fe,-31.6333,-60.7,63.0,78,0,1.01,AR,1619834779
Lata,40.1629,-8.3327,55.99,92,32,3.0,PT,1619834780
Krasnoarmiys'k,48.282,37.1758,51.96,87,96,7.85,UA,1619834780
Waingapu,-9.6567,120.2641,84.58,70,16,11.41,ID,1619834781
Eyl,7.9803,49.8164,81.55,75,100,3.42,SO,1619834782
Selikhino,50.3672,137.4996,41.45,64,100,13.62,RU,1619834784
Suez,29.9737,32.5263,74.8,23,0,9.1,EG,1619834785
Karasjok,69.4719,25.5112,28.4,86,75,34.52,NO,1619834785
São Mateus do Sul,-25.8742,-50.3828,50.95,98,0,3.2,BR,1619834786
Berlevåg,70.8578,29.0864,33.87,66,100,26.8,NO,1619834787
Tocopilla,-22.092,-70.1979,66.24,71,22,9.35,CL,1619834787
Krasnoarmeysk,51.0239,45.6969,48.99,90,100,3.0,RU,1619834788
Saint Paul Harbor,57.79,-152.4072,46.4,71,1,5.75,US,1619834602
Beloha,-25.1667,45.05,68.47,82,2,3.4,MG,1619834790
Mamlyutka,54.9375,68.5394,39.2,60,0,11.18,KZ,1619834791
Salazie,-21.0273,55.539,75.2,88,75,12.66,RE,1619834791
Athmallik,20.7219,84.5348,86.9,52,6,4.21,IN,1619834793
Tungor,53.3808,142.9564,35.42,83,100,9.82,RU,1619834794
Beringovskiy,63.05,179.3167,24.28,75,91,13.67,RU,1619834795
Puerto López,4.0845,-72.956,70.47,95,100,1.57,CO,1619834796
Boa Vista,2.8197,-60.6733,78.8,89,75,3.44,BR,1619834796
Sakakah,29.9697,40.2064,77.0,15,0,5.75,SA,1619834797
Tevaitoa,-16.7833,-151.5,81.18,68,99,10.38,PF,1619834797
Matara,5.9485,80.5353,80.08,83,22,0.87,LK,1619834798
Al Bardīyah,31.7561,25.0865,78.67,24,8,9.95,LY,1619834799
Emerald,-23.5333,148.1667,77.0,53,18,8.05,AU,1619834801
Botad,22.1667,71.6667,86.38,42,100,9.42,IN,1619834802
Methóni,36.8197,21.7049,69.01,76,72,4.61,GR,1619834803
Suntar,62.1444,117.6319,37.8,95,100,6.67,RU,1619834803
Hasaki,35.7333,140.8333,75.0,64,40,5.75,JP,1619834804
Gurlan,41.8447,60.3919,57.2,58,0,6.91,UZ,1619834807
Mūl,20.0667,79.6667,87.46,44,18,9.33,IN,1619834808
Sabha,27.0377,14.4283,79.81,8,0,12.01,LY,1619834808
Kaeo,-35.1,173.7833,70.0,66,23,5.99,NZ,1619834809
Verkhoyansk,67.5447,133.385,33.12,93,92,0.81,RU,1619834809
Camacha,33.0833,-16.3333,60.8,67,20,6.91,PT,1619834812
Laguna,38.421,-121.4238,73.99,46,1,9.22,US,1619834812
Avera,33.194,-82.5271,68.0,59,1,6.91,US,1619834814
Myitkyina,25.3833,97.4,85.21,51,11,0.16,MM,1619834815
Caçapava do Sul,-30.5122,-53.4914,54.09,75,0,2.64,BR,1619834816
Nyurba,63.2842,118.3319,39.16,92,100,8.61,RU,1619834817
Hambantota,6.1241,81.1185,77.0,100,20,3.44,LK,1619834818
Lompoc,34.6391,-120.4579,55.99,87,90,11.5,US,1619834793
Taoudenni,22.6783,-3.9836,75.94,54,90,8.55,ML,1619834616
Cap Malheureux,-19.9842,57.6142,78.01,78,100,5.99,MU,1619834820
Kushmurun,52.4503,64.6311,46.4,47,7,2.84,KZ,1619834821
Mareeba,-17.0,145.4333,84.99,61,40,17.27,AU,1619834823
Kopervik,59.2835,5.3067,39.0,87,13,6.91,NO,1619834826
Varberg,57.1056,12.2508,41.0,77,13,4.0,SE,1619834829
Jining,35.405,116.5814,65.17,29,52,6.64,CN,1619834830
Goundam,16.4145,-3.6708,82.6,44,69,8.34,ML,1619834831
Haines Junction,60.7522,-137.5108,46.4,42,100,12.66,CA,1619834832
Tomatlán,19.9333,-105.25,73.78,74,55,3.49,MX,1619834833
Omboué,-1.5746,9.2618,77.32,89,100,2.39,GA,1619834833
Morondava,-20.2833,44.2833,74.7,80,0,5.77,MG,1619834834
Longhua,23.6137,114.1919,84.56,47,84,2.06,CN,1619834835
Pemangkat,1.1667,108.9667,82.02,72,100,5.03,ID,1619834835
Sijunjung,-0.6876,100.9537,79.79,77,81,0.49,ID,1619834836
Krasnosel'kup,65.7,82.4667,32.05,96,100,12.1,RU,1619834838
Galich,58.3797,42.3475,45.79,91,100,11.65,RU,1619834838
Dabeiba,7.0017,-76.2672,72.25,96,100,3.13,CO,1619834839
Airai,-8.9266,125.4092,72.95,48,55,3.83,TL,1619834840
Tibiao,11.2915,122.0354,84.54,64,66,6.08,PH,1619834840
Port Macquarie,-31.4333,152.9167,73.0,64,11,3.0,AU,1619834841
Ponta Delgada,37.7333,-25.6667,51.8,71,20,3.44,PT,1619834841
Machinga,-15.1685,35.3,66.63,92,16,2.73,MW,1619834842
Huittinen,61.1833,22.7,28.99,80,0,1.14,FI,1619834843
